from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
grapefruit,CRP.value,0.07051057800095861,0.14185814185814186,0.22333127258180793,pos,NS,CD,IBD_200
ground cherry,CRP.value,0.013005668611658869,0.2017982017982018,0.2553293129209359,pos,NS,CD,IBD_200
guava,CRP.value,0.06296014668672262,0.09490509490509491,0.19436777911354186,pos,NS,CD,IBD_200
hazelnut,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
hearts of palm,CRP.value,0.053358511800255165,0.07592407592407592,0.17309734290866363,pos,NS,CD,IBD_200
hemp seed,CRP.value,0.07123640721354521,0.06393606393606394,0.16821887789629728,pos,NS,CD,IBD_200
herring,CRP.value,0.09508852585772438,0.14885114885114886,0.22529662404401443,pos,NS,CD,IBD_200
honey,CRP.value,0.07636358960678595,0.16983016983016982,0.22886035897188314,pos,NS,CD,IBD_200
insect,CRP.value,0.05582874485930403,0.07092907092907093,0.16821887789629728,pos,NS,CD,IBD_200
kale,CRP.value,0.08470986364336833,0.15484515484515485,0.2273572292369285,pos,NS,CD,IBD_200
kiwi,CRP.value,0.04854929633355697,0.07892107892107893,0.17391423166499154,pos,NS,CD,IBD_200
kumquat,CRP.value,0.06971552815041625,0.1088911088911089,0.20533590121218986,pos,NS,CD,IBD_200
lamb,CRP.value,0.10669117560507554,0.13586413586413587,0.22333127258180793,pos,NS,CD,IBD_200
langostino,CRP.value,0.08909082341679356,0.06493506493506493,0.16821887789629728,pos,NS,CD,IBD_200
lavender,CRP.value,0.01717185384796792,0.19880119880119881,0.25375153015998086,pos,NS,CD,IBD_200
lemon,CRP.value,0.08577401544911337,0.15384615384615385,0.2273572292369285,pos,NS,CD,IBD_200
lentil,CRP.value,0.09705455646232537,0.14185814185814186,0.22333127258180793,pos,NS,CD,IBD_200
lettuce,CRP.value,0.05905972674632337,0.17782217782217782,0.23525744328664036,pos,NS,CD,IBD_200
lime,CRP.value,0.0697907881828929,0.10989010989010989,0.20533590121218986,pos,NS,CD,IBD_200
lizard,CRP.value,0.10468190488409165,0.14185814185814186,0.22333127258180793,pos,NS,CD,IBD_200
mackerel,CRP.value,0.06856493469906982,0.16683316683316685,0.2273572292369285,pos,NS,CD,IBD_200
mandarin,CRP.value,0.08925022340536436,0.15484515484515485,0.2273572292369285,pos,NS,CD,IBD_200
mango,CRP.value,0.08474273043573803,0.13386613386613386,0.22333127258180793,pos,NS,CD,IBD_200
meat_undetermined,CRP.value,0.09532018602753102,0.08891108891108891,0.1847006861333509,pos,NS,CD,IBD_200
melon,CRP.value,0.08385177712370745,0.13986013986013987,0.22333127258180793,pos,NS,CD,IBD_200
milk,CRP.value,0.06702610263092876,0.17382617382617382,0.23166172063230886,pos,NS,CD,IBD_200
milk_cow,CRP.value,0.05926253202979424,0.17082917082917082,0.22935397935397933,pos,NS,CD,IBD_200
milk_goat,CRP.value,0.08371464084317753,0.14885114885114886,0.22529662404401443,pos,NS,CD,IBD_200
mint,CRP.value,0.05231729842629586,0.13186813186813187,0.22333127258180793,pos,NS,CD,IBD_200
mouse,CRP.value,0.08271527547794216,0.15584415584415584,0.2273572292369285,pos,NS,CD,IBD_200
mushroom,CRP.value,0.08539363670218118,0.16483516483516483,0.2273572292369285,pos,NS,CD,IBD_200
oat,CRP.value,0.07293442897433562,0.16983016983016982,0.22886035897188314,pos,NS,CD,IBD_200
