from,to,weight,pval,padj,direction,padj_sig,Group,Cohort
fig,shannon,-0.30403924855759523,0.011988011988011988,0.0282446066893543,neg,SIG,UC,IBD_1
fish_undetermined,shannon,-0.551254746755453,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
flax seed,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
garlic,shannon,-0.2699162132187224,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
ginger,shannon,-0.18705152108493994,0.060939060939060936,0.09664073300436936,neg,NS,UC,IBD_1
goat cheese,shannon,-0.2069190233993183,0.02097902097902098,0.042674639847784725,neg,SIG,UC,IBD_1
grain_fermented,shannon,-0.024997435795833765,0.24875124875124874,0.29046207342353386,neg,NS,UC,IBD_1
grape,shannon,-0.18623143930222627,0.04895104895104895,0.08175866686504984,neg,NS,UC,IBD_1
grape_fermented,shannon,-0.26898684863375416,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
grapefruit,shannon,-0.09757235931159522,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
guava,shannon,-0.15806097569897903,0.12487512487512488,0.16822101455486793,neg,NS,UC,IBD_1
hazelnut,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
hearts of palm,shannon,-0.3098517832934309,0.013986013986013986,0.03203427871862885,neg,SIG,UC,IBD_1
hemp seed,shannon,-0.41760933981704007,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
herring,shannon,-0.6621859484601044,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
honey,shannon,0.12743693488924937,0.01898101898101898,0.04022112856468685,pos,SIG,UC,IBD_1
kale,shannon,-0.2807660964372056,0.01998001998001998,0.041572884946378924,neg,SIG,UC,IBD_1
kelp,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
kumquat,shannon,-0.20733902748334684,0.08291708291708291,0.12291656841013064,neg,NS,UC,IBD_1
lamb,shannon,-0.6042523837919471,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
langostino,shannon,-0.5251438946579882,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
lavender,shannon,0.13038698431364515,0.11688311688311688,0.15944482058226134,pos,NS,UC,IBD_1
lemon,shannon,-0.45264934042535415,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
lentil,shannon,-0.5493750615084149,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
lettuce,shannon,-0.32992718746054195,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
lime,shannon,-0.3281580234226895,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
lizard,shannon,-0.6379680115111369,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
macadamia,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
mackerel,shannon,-0.64274827857265,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
mandarin,shannon,-0.36585090555769473,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
mango,shannon,-0.35394951692641297,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
maple syrup,shannon,-0.0902851224711361,0.2647352647352647,0.3060226252997337,neg,NS,UC,IBD_1
meat_undetermined,shannon,-0.33714487571209956,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
melon,shannon,-0.3664113989620287,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
milk,shannon,-0.5032806518329297,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
milk_cow,shannon,-0.5790015763975362,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
milk_goat,shannon,-0.3341600001651264,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
millet,shannon,-0.32175304719589715,0.007992007992007992,0.020032217419735564,neg,SIG,UC,IBD_1
mint,shannon,0.06640620567267891,0.3046953046953047,0.342138355792452,pos,NS,UC,IBD_1
mouse,shannon,-0.6711564718099768,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
mushroom,shannon,-0.2708238783012578,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
oat,shannon,-0.6196901263527215,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
olive,shannon,0.21246405985251493,0.06393606393606394,0.10047095761381475,pos,NS,UC,IBD_1
onion,shannon,-0.4745085634424642,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
orange,shannon,-0.36705842803973454,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
oregano,shannon,-0.02292213225398891,0.36863136863136864,0.3951746577444901,neg,NS,UC,IBD_1
parsley,shannon,-0.2888244250023551,0.025974025974025976,0.049841269841269846,neg,SIG,UC,IBD_1
passionfruit,shannon,-0.3623956052240541,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
pea,shannon,-0.37245402645586145,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
peach,shannon,-0.009295156956201645,0.46153846153846156,0.47025187202178353,neg,NS,UC,IBD_1
peanut,shannon,-0.4509037990814967,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
pear,shannon,0.18703814426904045,0.026973026973026972,0.05113327945380635,pos,NS,UC,IBD_1
pecan,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
pepper,shannon,-0.36752098763977686,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
pig,shannon,-0.6599355288748227,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
pine nut,shannon,-0.3981332476686383,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
plantain,shannon,-0.2341119566797229,0.055944055944055944,0.09004229693884866,neg,NS,UC,IBD_1
plum,shannon,0.13567088044049752,0.06793206793206794,0.10428327228327229,pos,NS,UC,IBD_1
poppy seed,shannon,-0.23753774670247518,0.04895104895104895,0.08175866686504984,neg,NS,UC,IBD_1
potato,shannon,-0.0849890452951495,0.24275724275724275,0.2857817029596171,neg,NS,UC,IBD_1
pumpkin,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
pumpkin blossom,shannon,0.19897482526596277,0.052947052947052944,0.08659049284049285,pos,NS,UC,IBD_1
quinoa,shannon,-0.5943808460637303,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
rabbit,shannon,-0.24681725772676216,0.04595404595404595,0.07750257554945054,neg,NS,UC,IBD_1
radish,shannon,-0.11915362645286619,0.19080919080919082,0.23453912635407298,neg,NS,UC,IBD_1
raspberry,shannon,-0.08542442365941762,0.21178821178821178,0.2561332225197771,neg,NS,UC,IBD_1
rice,shannon,-0.6392971908508667,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
rosemary,shannon,0.31915385532458157,0.002997002997002997,0.0102899088982588,pos,SIG,UC,IBD_1
sage,shannon,0.07522901129311763,0.24175824175824176,0.2847997841176559,pos,NS,UC,IBD_1
salmon,shannon,-0.40512996941369117,0.002997002997002997,0.0102899088982588,neg,SIG,UC,IBD_1
sardine,shannon,-0.5242239123527679,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
seaweed,shannon,-0.06721837288798067,0.2807192807192807,0.3206363742078028,neg,NS,UC,IBD_1
sesame,shannon,-0.39644426693201756,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
shrimp,shannon,-0.6043062502011898,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
silkworm,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
silversides,shannon,-0.5568110593165093,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
smelt,shannon,-0.6703916532191083,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
snail,shannon,-0.36633490869697494,0.004995004995004995,0.014049468446862584,neg,SIG,UC,IBD_1
soda,shannon,0.07759079704899931,0.14185814185814186,0.18744377275364268,pos,NS,UC,IBD_1
spice,shannon,0.13567088044049752,0.06793206793206794,0.10428327228327229,pos,NS,UC,IBD_1
spinach,shannon,-0.1785482356600427,0.058941058941058944,0.09399003581829067,neg,NS,UC,IBD_1
squash,shannon,-0.21604346755472129,0.04995004995004995,0.08294590025359257,neg,NS,UC,IBD_1
squid,shannon,-0.650095639333095,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
strawberry,shannon,0.043374083068226266,0.26873126873126874,0.3093992673992674,pos,NS,UC,IBD_1
sunflower,shannon,-0.3878894791720889,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
sweet potato,shannon,-0.14311167460161306,0.11388611388611389,0.15609628466771325,neg,NS,UC,IBD_1
tea,shannon,-0.31354830506857667,0.015984015984015984,0.03520968827091276,neg,SIG,UC,IBD_1
thyme,shannon,-0.043345370582819384,0.34465534465534464,0.37505972288580985,neg,NS,UC,IBD_1
tomato,shannon,-0.4168467678250006,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
trout,shannon,-0.6703205551931812,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
turkey,shannon,-0.45256308496238906,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
veal,shannon,-0.41023836141264053,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
walnut,shannon,-0.3963913311552557,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
wheat,shannon,-0.6455453034162324,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
worm,shannon,-0.652298416667931,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
yeast,shannon,-0.3949759822493381,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
yogurt_cow,shannon,-0.35065282938496506,9.99000999000999e-4,0.005374687617678272,neg,SIG,UC,IBD_1
algae,faith_pd,0.07965245324115883,0.15484515484515485,0.1997144006105918,pos,NS,UC,IBD_1
almond,faith_pd,-0.36356677457465586,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
amaranth,faith_pd,-0.24179048476302883,0.022977022977022976,0.04598067054613984,neg,SIG,UC,IBD_1
anchovy,faith_pd,-0.3265807742169784,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
ant,faith_pd,-0.3181690336448074,0.005994005994005994,0.016174450549450547,neg,SIG,UC,IBD_1
apple,faith_pd,-0.12609454547551058,0.04395604395604396,0.07471662196071646,neg,NS,UC,IBD_1
apple_cider,faith_pd,-0.07084753843103535,0.055944055944055944,0.09004229693884866,neg,NS,UC,IBD_1
apricot,faith_pd,-0.05230609774225925,0.27972027972027974,0.3199184921039226,neg,NS,UC,IBD_1
artichoke,faith_pd,-0.3280121344949877,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
artificial sweetener,faith_pd,-0.0637452936722183,0.1258741258741259,0.16930265995686558,neg,NS,UC,IBD_1
arugula,faith_pd,-0.15842642235895085,0.07692307692307693,0.11561893285130884,neg,NS,UC,IBD_1
asparagus,faith_pd,-0.2708609638872247,0.01998001998001998,0.041572884946378924,neg,SIG,UC,IBD_1
avocado,faith_pd,-0.14487477385144712,0.08891108891108891,0.13012665300800894,neg,NS,UC,IBD_1
banana,faith_pd,-0.38137595015008796,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
barley,faith_pd,-0.23062088280852233,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
basil,faith_pd,0.02363994256248568,0.3196803196803197,0.3529973862454681,pos,NS,UC,IBD_1
bean,faith_pd,-0.34225591741034267,0.002997002997002997,0.0102899088982588,neg,SIG,UC,IBD_1
beef,faith_pd,-0.47892183868779337,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
beet,faith_pd,-0.08931702996146647,0.19880119880119881,0.24263580942026172,neg,NS,UC,IBD_1
betel nut,faith_pd,0.07965245324115883,0.15484515484515485,0.1997144006105918,pos,NS,UC,IBD_1
bison,faith_pd,-0.31582236914865847,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
blackberry,faith_pd,-0.1379705592892974,0.17082917082917082,0.2153445095050934,neg,NS,UC,IBD_1
blueberry,faith_pd,-0.13349604224384967,0.058941058941058944,0.09399003581829067,neg,NS,UC,IBD_1
bonito,faith_pd,-0.31582236914865847,0.003996003996003996,0.012022820385189722,neg,SIG,UC,IBD_1
bony fish,faith_pd,-0.23504417325239058,0.026973026973026972,0.05113327945380635,neg,NS,UC,IBD_1
buckwheat,faith_pd,-0.29734520036914674,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
butter,faith_pd,-0.2525527942014121,0.027972027972027972,0.05256549761446388,neg,NS,UC,IBD_1
butterfish,faith_pd,-0.48432495374834683,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
cabbage,faith_pd,-0.20870358527078575,0.04395604395604396,0.07471662196071646,neg,NS,UC,IBD_1
cardamom,faith_pd,0.01474837523258633,0.4025974025974026,0.41985852311939276,pos,NS,UC,IBD_1
carrot,faith_pd,-0.35563334706135075,0.006993006993006993,0.018243086218917036,neg,SIG,UC,IBD_1
cashew,faith_pd,-0.3972636466539758,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
cauliflower,faith_pd,-0.22277463243445986,0.06393606393606394,0.10047095761381475,neg,NS,UC,IBD_1
celery,faith_pd,-0.26464328347135696,0.016983016983016984,0.03703241203241203,neg,SIG,UC,IBD_1
chard,faith_pd,-0.2304146011377962,0.03296703296703297,0.059492231906025005,neg,NS,UC,IBD_1
cheddar cheese,faith_pd,-0.15981110520181419,0.08291708291708291,0.12291656841013064,neg,NS,UC,IBD_1
cherry,faith_pd,-0.16363419732869475,0.11788211788211789,0.16055395708392553,neg,NS,UC,IBD_1
chia,faith_pd,-0.3472609785915194,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
chicken,faith_pd,-0.4718268053104844,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
cicerchia,faith_pd,-0.21879610184601145,0.027972027972027972,0.05256549761446388,neg,NS,UC,IBD_1
cilantro,faith_pd,-0.22387774731971694,0.029970029970029972,0.05482864593034085,neg,NS,UC,IBD_1
cinnamon,faith_pd,0.06084032784520605,0.23076923076923078,0.2739095955590801,pos,NS,UC,IBD_1
clementine,faith_pd,0.06084032784520605,0.23076923076923078,0.2739095955590801,pos,NS,UC,IBD_1
coconut,faith_pd,-0.27362359198134245,0.030969030969030968,0.05635776236408481,neg,NS,UC,IBD_1
cod,faith_pd,0.06084032784520605,0.23076923076923078,0.2739095955590801,pos,NS,UC,IBD_1
coffee,faith_pd,-0.10154594142077983,0.09490509490509491,0.13590472545696428,neg,NS,UC,IBD_1
corn,faith_pd,-0.4842074880846213,0.001998001998001998,0.007932297587470001,neg,SIG,UC,IBD_1
corn husk,faith_pd,-0.0027056287494296952,0.46353646353646355,0.4720091229525192,neg,NS,UC,IBD_1
